,impact_pct,impact_pct,recovery_years,recovery_years
disruption,ebola_and_price_crash,ghana_log_export_ban,ebola_and_price_crash,ghana_log_export_ban
country_code,,,,
CIV,-26.54241587704245,-7.167091314736824,,2.0
GHA,37.039772393477286,3.760596307401383,,1.0
GIN,-75.41453543926706,-95.16973984076716,,
LBR,95.5383123181377,543.9094502335608,1.0,1.0
NGA,643.2908177988112,-6.199532866199534,1.0,1.0
SLE,-94.5147370730637,-60.493827160493815,,1.0
