country_code,year,gdp_growth_pct,inflation_pct,lpi_overall_legacy,trade_openness_pct_gdp
BEN,2008,4.89657708429647,7.94729876067854,,36.4844386658282
BEN,2009,2.31929213912838,0.896072355749069,,33.7727295964945
BEN,2010,2.11406472648392,2.20783532536524,2.79,34.9856244790097
BEN,2011,2.96375291904201,2.7042390774728,,33.0954235793169
BEN,2012,4.811223315688,6.74468253340712,2.85,33.9455922757116
BEN,2013,7.19143372144946,0.428888888888884,,39.8790682467891
BEN,2014,6.35767909791932,-0.548757550948181,2.560822,48.0860145999601
BEN,2015,1.77815106030278,0.218785923536245,,37.257991006643
BEN,2016,3.33967342629693,-0.793310145785624,2.428125,39.3027165030984
BEN,2017,5.67156195150444,0.0432648555103608,,44.9547686797708
BEN,2018,6.69725362180888,0.919170717886054,2.75,54.1212953053287
BEN,2019,6.86568662848335,0.732849371241066,,48.5280171335178
BEN,2020,3.84879240030133,3.02272119663759,,41.7613807154525
BEN,2021,7.1554516457574,1.73353962694036,,46.0774167090461
BEN,2022,6.25294705373625,1.35077863583527,2.9,49.5426072162145
BEN,2023,6.3527773854442,2.73870078406075,,47.2823789270459
BEN,2024,7.45311566226201,1.16093089640415,,41.2379412937455
BFA,2008,5.79999174105387,10.6597978997424,,28.6834735616135
BFA,2009,2.96195085866692,2.60817666368314,,29.3100078980746
BFA,2010,8.44628157707625,-0.764230734676768,2.23,35.9954191486557
BFA,2011,6.62256261306693,2.75976724854534,,39.7755155082652
BFA,2012,6.45267237953146,3.8181524025238,2.32,45.8322828867029
BFA,2013,5.79258484509867,0.533738507090536,,49.9914443825335
BFA,2014,4.32684561452976,-0.258089517535291,2.6383,43.2402857948083
BFA,2015,3.9212287937935,0.724838981070517,,44.4213085692402
BFA,2016,5.95797670754024,0.441041448058809,2.73081,45.6154788056682
BFA,2017,6.20348941121868,1.48299897161326,,47.749494530721
BFA,2018,6.60456906812341,1.95594302672532,2.62,47.5454280352741
BFA,2019,5.88920497068135,-3.23338933983322,,46.922519234808
BFA,2020,2.01077262406221,1.88470066518847,,47.9435540216211
BFA,2021,6.94252492572348,3.65326761825509,,49.0264856775805
BFA,2022,1.62673258211919,14.2902354303358,2.3,53.8168468408676
BFA,2023,3.00027415814125,0.742910428668918,,51.5317196340603
BFA,2024,4.83395810163883,4.19081721344523,,52.1815842846873
CIV,2008,4.7826659787672,6.30852769152578,,
CIV,2009,3.60332156667053,1.01950457731138,,
CIV,2010,6.84804939907013,1.2264561213548,2.53,
CIV,2011,-5.37044724000579,4.9124339505245,,
CIV,2012,7.62041176451649,1.30451119915606,2.73,
CIV,2013,10.7602131311256,2.58117037252936,,
CIV,2014,9.37199994240375,0.448682076766141,2.761981,
CIV,2015,7.19494942728191,1.25149954781468,,
CIV,2016,7.17275963956332,0.723178457513308,2.602573,
CIV,2017,7.41076242592504,0.685881065304603,,
CIV,2018,4.84314605889178,0.401297817263547,3.08,
CIV,2019,6.72137167584978,0.790855512053661,,
CIV,2020,0.699728593494228,2.41252617189053,,
CIV,2021,7.06253713446816,4.15919657911798,,
CIV,2022,6.39988362730921,5.23352856100843,,
CIV,2023,6.60000045209176,4.36972254867474,,
CIV,2024,6.0195346193922,3.45053028131019,,
GHA,2008,9.14979893831817,16.494639613412,,54.1817788387651
GHA,2009,4.84448705175076,19.2469482220857,,53.3078016772251
GHA,2010,7.89971194051621,10.7333898354915,2.47,58.644021335595
GHA,2011,14.0471235803149,8.7284593709302,,72.7641699123625
GHA,2012,9.2927894063005,11.1863409441067,2.51,75.8752345917387
